date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,relative_humidity
5/12/2015,75,64,86,53,70,40,93,1907,1881,0,0.13,1.84,94.05
5/13/2015,62,53,70,53,70,39,89,1895,1956,0,0.12,1.66,54.07
5/14/2015,62,50,73,53,70,40,88,1878,1900,0,0.12,3.38,69.09
5/15/2015,65,55,75,54,71,42,90,1947,1900,0,0.13,1.16,58.33
5/16/2015,66,57,75,54,71,42,90,1878,1951,0.3,0.13,2.66,62.73
5/17/2015,74,64,83,54,71,39,92,1956,1974,0.02,0.13,1.05,48.67
5/18/2015,68,60,75,55,71,41,90,1973,1936,0,0.13,2.18,73.35
5/19/2015,70,59,80,55,72,38,99,1976,1962,0,0.13,2.02,74.23
5/20/2015,61,54,67,55,72,43,96,2002,1996,0,0.14,2.03,62.87
5/21/2015,57,52,62,55,72,40,93,1907,1996,0,0.14,1.94,74.04
5/22/2015,65,55,74,56,72,44,96,1990,1941,0,0.15,1.25,84.8
5/23/2015,60,49,70,56,73,43,94,1963,1964,0,0.15,2.7,72.32
5/24/2015,69,56,81,56,73,39,93,1963,1975,0,0.15,2.07,68.08
5/25/2015,75,64,85,57,73,41,95,1925,1880,0,0.15,0.86,46.04
5/26/2015,78,67,88,57,74,42,95,1967,1880,0,0.15,1.28,70.42
5/27/2015,78,70,85,57,74,41,96,1961,1880,0.08,0.14,2.62,67.54
5/28/2015,78,70,85,58,74,43,94,1961,1959,0,0.14,1.16,49.87
5/29/2015,75,65,85,58,74,43,97,1902,1969,0,0.16,3.99,57.13
5/30/2015,76,67,85,58,75,42,97,1884,1987,0,0.15,2.19,58.53
5/31/2015,72,57,87,59,75,46,96,1938,1939,1.46,0.15,3.13,59.96
6/1/2015,55,51,58,59,75,44,96,1945,1895,0.72,0.16,2.6,57.09
6/2/2015,53,50,55,59,76,48,96,1946,1895,0.37,0.16,2.79,87.91
6/3/2015,61,52,70,60,76,45,95,1929,1895,0,0.16,3.01,71.5
6/4/2015,60,54,65,60,76,48,99,1926,1925,0,0.16,2.75,64.46
6/5/2015,63,55,70,60,76,47,99,1945,1925,0.13,0.16,2.8,58.04
6/6/2015,68,60,76,61,77,47,98,1945,1925,0.19,0.16,2.62,50.42
6/7/2015,65,55,74,61,77,47,96,1897,1925,0,0.16,4.16,62.41
6/8/2015,71,63,79,61,77,47,95,1932,1933,0.06,0.16,1.47,76.03
6/9/2015,76,68,83,62,78,47,97,1980,1933,0.01,0.16,2.55,85.99
6/10/2015,74,65,82,62,78,49,96,1972,2008,0,0.16,2.07,80.33
6/11/2015,81,72,89,62,78,46,95,1972,1973,0,0.16,1.14,69.81
6/12/2015,81,73,88,63,78,48,93,1979,1973,0,0.16,2.18,77.5
6/13/2015,79,72,86,63,79,51,96,1953,1961,0,0.16,1.71,65.76
6/14/2015,77,66,88,63,79,49,99,1875,1956,0.36,0.16,2.54,91.53
6/15/2015,74,64,83,64,79,48,96,1933,1994,0.57,0.15,1.13,81.39
6/16/2015,72,65,79,64,80,52,97,1927,1891,0.27,0.15,1.31,51.46
6/17/2015,74,66,82,64,80,51,96,1926,1957,0,0.16,1.82,70.17
6/18/2015,68,64,71,65,80,48,95,1950,1929,0,0.14,2.3,82.11
6/19/2015,78,68,87,65,80,52,98,1920,1994,0,0.14,2.16,90.87
6/20/2015,70,64,75,65,81,49,98,1914,1923,0,0.13,1.39,55.89
6/21/2015,80,71,88,65,81,49,97,1897,1988,0.64,0.14,1.7,89.2
6/22/2015,79,70,87,66,81,52,98,1940,1988,0,0.13,1.96,50.24
6/23/2015,83,75,90,66,81,49,96,1918,1888,0.02,0.13,1.75,61.05
6/24/2015,76,68,84,66,82,52,96,1932,1888,0,0.13,1.46,66.89
6/25/2015,74,65,83,66,82,50,99,1873,1952,0,0.14,1.28,53.58
6/26/2015,75,69,81,67,82,56,100,1979,1952,0,0.13,4.29,75.35
6/27/2015,65,58,71,67,82,55,101,1940,1966,1.12,0.12,2.11,48.64
6/28/2015,68,62,73,67,83,54,96,1995,1991,0.29,0.13,1.69,46
6/29/2015,70,63,76,67,83,52,101,1919,1934,0,0.12,2.57,47.35
6/30/2015,75,68,82,67,83,53,99,1919,1964,0,0.13,3.07,37.32
